Found app: 标记, package: com.android.apps.tag
2024-12-19 17:25:37.672 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 紧急信息, package: com.android.emergency
2024-12-19 17:25:37.678 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 图库, package: com.huawei.ohos.photos
2024-12-19 17:25:37.681 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 智慧视觉, package: com.huawei.scanner
2024-12-19 17:25:37.687 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: HwDistributedKeyManager, package: com.huawei.distributed.kms
2024-12-19 17:25:37.693 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: OsuLogin, package: com.android.hotspot2.osulogin
2024-12-19 17:25:37.696 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: Gestural Navigation Bar, package: com.android.internal.systemui.navbar.gestural
2024-12-19 17:25:37.699 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 情景智能, package: com.huawei.suggestion
2024-12-19 17:25:37.711 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 音乐播放器, package: com.huawei.music.local
2024-12-19 17:25:37.713 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 融合定位, package: com.android.location.fused
2024-12-19 17:25:37.716 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 全局搜索数据服务, package: com.huawei.ohos.search
2024-12-19 17:25:37.720 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 系统用户界面, package: com.android.systemui
2024-12-19 17:25:37.724 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: Bluetooth MIDI Service, package: com.android.bluetoothmidiservice
2024-12-19 17:25:37.729 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 关键资产同步, package: com.huawei.assetsync
2024-12-19 17:25:37.735 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 智能检测基础服务, package: com.huawei.hwdetectrepair
2024-12-19 17:25:37.737 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 权限控制器, package: com.android.permissioncontroller
2024-12-19 17:25:37.774 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 百度网盘, package: com.baidu.netdisk
2024-12-19 17:25:37.777 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 畅连服务, package: com.huawei.hwvoipservice
2024-12-19 17:25:37.782 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: K 歌特效, package: com.huawei.android.karaoke
2024-12-19 17:25:37.782 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: GameKit, package: com.huawei.game.kitserver
2024-12-19 17:25:37.787 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: test, package: com.cc.test
2024-12-19 17:25:37.810 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 备忘录, package: com.huawei.notepad
2024-12-19 17:25:37.812 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: CA, package: com.huawei.ca
2024-12-19 17:25:37.828 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 天际通数据服务, package: com.huawei.skytone
2024-12-19 17:25:37.831 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 关键资产同步管理服务, package: com.huawei.assetsyncservice
2024-12-19 17:25:37.831 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: Suki, package: com.ppmm.suki
2024-12-19 17:25:37.834 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 掌上生活, package: com.cmbchina.ccd.pluto.cmbActivity
2024-12-19 17:25:37.864 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 熄屏显示, package: com.huawei.aod
2024-12-19 17:25:37.868 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: DEF, package: com.huawei.def
2024-12-19 17:25:37.871 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 智能信息, package: com.huawei.hbm
2024-12-19 17:25:37.872 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: com.huawei.hff, package: com.huawei.hff
2024-12-19 17:25:37.875 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: HwImsService, package: com.huawei.ims
2024-12-19 17:25:37.878 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 位置服务, package: com.huawei.lbs
2024-12-19 17:25:37.880 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 蓝牙, package: com.android.bluetooth
2024-12-19 17:25:37.883 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 联系人存储, package: com.android.providers.contacts
2024-12-19 17:25:37.890 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: CaptivePortalLogin, package: com.android.captiveportallogin
2024-12-19 17:25:37.931 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 音频管家, package: com.huawei.audioaccessorymanager
2024-12-19 17:25:37.932 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: HiAI Base, package: com.huawei.hiaction
2024-12-19 17:25:37.938 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: TrustedThingsAuth, package: com.huawei.trustedthingsauth
2024-12-19 17:25:37.941 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 支付宝, package: com.eg.android.AlipayGphone
2024-12-19 17:25:37.950 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 无线投屏, package: com.huawei.android.airsharing
2024-12-19 17:25:37.957 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 中国移动, package: com.greenpoint.android.mc10086.activity
2024-12-19 17:25:37.968 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 华为 RCS 服务, package: com.huawei.rcsserviceapplication
2024-12-19 17:25:37.987 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 时钟, package: com.huawei.deskclock
2024-12-19 17:25:38.013 21377-21377 PythonServices          cn.....andro_accessibility_api.demo  I  Found app: 服务中心, package: com.huawei.ohos.famanager
